Município Acidente;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente
GUAPIARA;2017;3;MASCULINO;NAO DISPONIVEL;NAO DISPONIVEL;MOTOCICLETA;0-17;NAO DISPONIVEL;NAO DISPONIVEL 
GUARAREMA;2017;3;MASCULINO;MADRUGADA;NAO DISPONIVEL;AUTOMOVEL;18-24;-23.419026;-46.003052
GUARATINGUETA;2017;3;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;45-49;NAO DISPONIVEL;NAO DISPONIVEL 
GUARATINGUETA;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;18-24;-22.7740847628;-45.1375561628
GUARUJA;2017;3;MASCULINO;MANHA;ATROPELAMENTO;MOTOCICLETA;18-24;-23.977829;-46.272337
GUARUJA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;18-24;-23.975199926;-46.274567551
GUARUJA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;45-49;-23.941155;-46.291198
GUARUJA;2017;3;MASCULINO;TARDE;OUTROS;MOTOCICLETA;35-39;NAO DISPONIVEL;NAO DISPONIVEL 
GUARULHOS;2017;3;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;75-79;-23.460038822;-46.5224954407
GUARULHOS;2017;3;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;55-59;-23.469763;-46.52243
GUARULHOS;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;-23.446412;-46.534194
GUARULHOS;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;75-79;-23.451476;-46.508555
GUARULHOS;2017;3;MASCULINO;NAO DISPONIVEL;CHOQUE;MOTOCICLETA;18-24;-23.475965;-46.438435
GUARULHOS;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;30-34;-23.457861;-46.530469
GUARULHOS;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;30-34;-23.4878005008;-46.5440180278
HORTOLANDIA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-22.892328769;-47.1741468459
IBIUNA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;35-39;-23.6590953986;-47.2240336394
IBIUNA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;40-44;-23.6919;-47.2216
IGARATA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-23.2071386475;-46.1589847005
IGUAPE;2017;3;MASCULINO;NOITE;NAO DISPONIVEL;NAO DISPONIVEL;55-59;NAO DISPONIVEL;NAO DISPONIVEL 
IGUAPE;2017;3;MASCULINO;NOITE;OUTROS;MOTOCICLETA;35-39;-24.708081;-47.576319
INDAIATUBA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;35-39;-23.1048724692;-47.2013963481
INDAIATUBA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;35-39;-23.098498;-47.275151
INDAIATUBA;2017;3;MASCULINO;TARDE;COLISAO;BICICLETA;65-69;NAO DISPONIVEL;NAO DISPONIVEL 
INDAIATUBA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;40-44;-23.113702;-47.218629
INDIANA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-22.176776;-51.256355
ITABERA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;NAO DISPONIVEL;-24.0146772607;-49.1352693077
ITAJOBI;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;AUTOMOVEL;60-64;-21.2908070358;-49.0378139934
ITAPECERICA DA SERRA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-23.7445959551;-46.8997626346
ITAPECERICA DA SERRA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;-23.6923605028;-46.8633276596
ITAPECERICA DA SERRA;2017;3;MASCULINO;TARDE;COLISAO;AUTOMOVEL;40-44;-23.7285883937;-46.8458670043
ITAPETININGA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;45-49;-23.6138866869;-48.0865248858
ITAPETININGA;2017;3;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;18-24;-23.577412;-48.013234
ITAPETININGA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;45-49;-23.618991667;-48.082063889
ITAPEVA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;0-17;-23.96502086;-48.9333901923
ITAPEVA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;0-17;-23.96502086;-48.9333901923
ITAPEVA;2017;3;MASCULINO;TARDE;COLISAO;CAMINHAO;55-59;-23.9987277859;-48.9417884528
ITAPEVI;2017;3;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;65-69;-23.550578;-46.938013
ITAPIRA;2017;3;MASCULINO;NAO DISPONIVEL;COLISAO;MOTOCICLETA;50-54;-22.4529;-46.8078
ITAPIRA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;18-24;-22.3945;-46.7468
ITAPIRA;2017;3;MASCULINO;TARDE;OUTROS;CAMINHAO;60-64;-22.404317;-46.82941
ITAPIRAPUA PAULISTA;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;70-74;-24.483994;-49.220317
ITAPOLIS;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;18-24;-21.5130283584;-48.6702599711
ITAPUI;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;45-49;-22.297947;-48.692094
ITAQUAQUECETUBA;2017;3;FEMININO;MADRUGADA;OUTROS;MOTOCICLETA;18-24;-23.497909032;-46.3550180408
ITAQUAQUECETUBA;2017;3;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;25-29;-23.497909032;-46.3550180408
ITAQUAQUECETUBA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;-23.493245252;-46.3603343944
ITAQUAQUECETUBA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;35-39;-23.480216;-46.352207
ITAQUAQUECETUBA;2017;3;MASCULINO;TARDE;NAO DISPONIVEL;NAO DISPONIVEL;50-54;-23.498907;-46.349669
ITARARE;2017;3;MASCULINO;NAO DISPONIVEL;ATROPELAMENTO;PEDESTRE;40-44;-24.1154257947;-49.3626848986
ITATIBA;2017;3;MASCULINO;MANHA;NAO DISPONIVEL;MOTOCICLETA;35-39;-23.0210846152;-46.8424095188
ITATIBA;2017;3;MASCULINO;NOITE;OUTROS;MOTOCICLETA;18-24;-23.026342;-46.83826
ITIRAPINA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;25-29;-22.25542;-47.84528
ITU;2017;3;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;-23.3723052787;-47.3233143416
ITU;2017;3;MASCULINO;MADRUGADA;CHOQUE;AUTOMOVEL;18-24;-23.262293;-47.29304
ITU;2017;3;MASCULINO;NAO DISPONIVEL;ATROPELAMENTO;PEDESTRE;60-64;-23.415683481;-47.257704264
ITU;2017;3;MASCULINO;NAO DISPONIVEL;COLISAO;BICICLETA;40-44;NAO DISPONIVEL;NAO DISPONIVEL 
ITU;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-23.2553441452;-47.2089214853
ITUVERAVA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;-20.254637757;-47.859143171
JACAREI;2017;3;MASCULINO;MANHA;COLISAO;BICICLETA;35-39;-23.2750683308;-45.9745098359
JAGUARIUNA;2017;3;MASCULINO;NOITE;OUTROS;CAMINHAO;45-49;-22.7090187624;-46.9707417332
JAGUARIUNA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;-22.701184;-46.982716
JALES;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;-20.2605815537;-50.5475222316
JAU;2017;3;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-22.328668;-48.545815
JAU;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;30-34;-22.365834754;-48.5166663395
JAU;2017;3;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;75-79;-22.297676;-48.556545
JOANOPOLIS;2017;3;MASCULINO;NAO DISPONIVEL;COLISAO;CAMINHAO;45-49;-23.302894015;-46.572657367
JOANOPOLIS;2017;3;MASCULINO;NAO DISPONIVEL;COLISAO;CAMINHAO;45-49;-23.302894015;-46.572657367
JOSE BONIFACIO;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;55-59;-21.113202;-49.798848
JOSE BONIFACIO;2017;3;MASCULINO;NOITE;OUTROS;MOTOCICLETA;25-29;-21.1469286819;-49.8842630291
JULIO MESQUITA;2017;3;MASCULINO;MADRUGADA;COLISAO;AUTOMOVEL;25-29;-22.0132655173;-49.7671510605
JUMIRIM;2017;3;MASCULINO;MANHA;OUTROS;MOTOCICLETA;25-29;-23.0869732499;-47.7817740591
JUNDIAI;2017;3;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;-23.1843679762;-46.9331551506
JUNDIAI;2017;3;FEMININO;NOITE;COLISAO;MOTOCICLETA;25-29;-23.163150481;-46.877351187
JUNDIAI;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;60-64;-23.230639;-46.87295
JUNDIAI;2017;3;MASCULINO;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;45-49;NAO DISPONIVEL;NAO DISPONIVEL 
JUNDIAI;2017;3;MASCULINO;TARDE;OUTROS;MOTOCICLETA;18-24;-23.1856956291;-46.8633559878
JUNDIAI;2017;3;MASCULINO;TARDE;OUTROS;MOTOCICLETA;35-39;-23.27921;-46.848277
LAVINIA;2017;3;MASCULINO;TARDE;COLISAO;BICICLETA;75-79;-21.16989;-51.042083
LEME;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;35-39;-22.148586511;-47.411015718
LIMEIRA;2017;3;MASCULINO;MADRUGADA;OUTROS;CAMINHAO;55-59;-22.542639284;-47.460159659
LIMEIRA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;45-49;-22.529694;-47.386737
LIMEIRA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;30-34;-22.6313069744;-47.2935953826
LIMEIRA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;65-69;-22.584968;-47.40054
LIMEIRA;2017;3;MASCULINO;TARDE;COLISAO;ONIBUS;40-44;-22.623894674;-47.342845201
LIMEIRA;2017;3;NAO DISPONIVEL;NOITE;NAO DISPONIVEL;AUTOMOVEL;60-64;-22.605426;-47.413383
LORENA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;NAO DISPONIVEL;-22.6951272744;-45.1220914567
LOUVEIRA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;18-24;-23.087892;-46.964628
LUTECIA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;60-64;-22.3582634038;-50.4249608424
MACATUBA;2017;3;FEMININO;MADRUGADA;COLISAO;AUTOMOVEL;30-34;-22.4426875286;-48.728010279
MACATUBA;2017;3;MASCULINO;MADRUGADA;COLISAO;AUTOMOVEL;60-64;-22.4426875286;-48.728010279
MAIRIPORA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;25-29;-23.309298;-46.573756
MARILIA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;25-29;-22.2381197923;-49.9743549782
MARILIA;2017;3;MASCULINO;TARDE;COLISAO;AUTOMOVEL;70-74;-22.1744499805;-49.979728715
MAUA;2017;3;MASCULINO;NAO DISPONIVEL;OUTROS;MOTOCICLETA;0-17;-23.661934;-46.459326
MIGUELOPOLIS;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;55-59;-20.19982;-48.034383
MIRASSOL;2017;3;FEMININO;TARDE;COLISAO;AUTOMOVEL;50-54;-20.9397220088;-49.5256490221
MIRASSOL;2017;3;MASCULINO;TARDE;COLISAO;AUTOMOVEL;55-59;-20.9397220088;-49.5256490221
MIRASSOL;2017;3;MASCULINO;TARDE;OUTROS;MOTOCICLETA;30-34;-20.808475398;-49.507119767
MOCOCA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;NAO DISPONIVEL;NAO DISPONIVEL 
MOGI DAS CRUZES;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;40-44;-23.6127871182;-46.2552170776
MOGI DAS CRUZES;2017;3;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;55-59;-23.561915;-46.186609
MOGI GUACU;2017;3;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;55-59;-22.397327;-46.947505
MOGI GUACU;2017;3;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;25-29;-22.3394301985;-46.9578707086
