,Município Acidente,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
321,Catanduva,2017,3,Feminino,Manha,Colisao,Automovel,50-54,-21.17051,-48.9731
322,Catigua,2017,1,Feminino,Tarde,Outros,Não Disponível,50-54,-21.0837699393,-49.0850945002
323,Cedral,2016,12,Masculino,Não Disponível,Colisão,Motocicleta,55-59,-20.9159561303,-49.2854583569
324,Cedral,2017,3,Masculino,Nao Disponivel,Outros,Automovel,0-17,-20.913307,-49.265201
325,Cedral,2017,3,Masculino,Madrugada,Atropelamento,Motocicleta,50-54,-20.917718,-49.293726
326,Cerqueira Cesar,2017,1,Masculino,Não Disponível,Colisão,Bicicleta,40-44,-22.9874977454,-49.2064300722
327,Cerquilho,2016,12,Masculino,Manhã,Choque,Motocicleta,30-34,-23.176007,-47.715687
328,Cerquilho,2017,1,Masculino,Tarde,Não Disponível,Motocicleta,30-34,-23.169241,-47.743398
329,Cesario Lange,2017,3,Feminino,Noite,Colisao,Motocicleta,0-17,-23.2060857088,-47.946329498
330,Clementina,2017,2,Feminino,Tarde,Colisao,Automovel,25-29,-21.529748,-50.435234
331,Colina,2017,3,Masculino,Noite,Colisao,Bicicleta,45-49,-20.724074,-48.528934
332,Conchas,2017,3,Masculino,Manha,Choque,Motocicleta,18-24,-23.022932,-48.01154
333,Conchas,2017,3,Masculino,Noite,Atropelamento,Pedestre,75-79,-23.016972,-48.002521
334,Cosmopolis,2017,1,Masculino,Noite,Choque,Motocicleta,18-24,-22.638883,-47.188274
335,Cosmopolis,2017,1,Masculino,Tarde,Colisão,Motocicleta,30-34,-22.640201,-47.18112
336,Cosmopolis,2017,1,Masculino,Tarde,Atropelamento,Pedestre,75-79,-22.6485939239,-47.2056751066
337,Cosmorama,2017,3,Masculino,Noite,Colisao,Automovel,50-54,-20.4938580789,-49.7889106939
338,Cotia,2016,12,Masculino,Tarde,Atropelamento,Pedestre,Não Disponível,-23.6032486988,-46.9214614714
339,Cotia,2017,1,Feminino,Noite,Outros,Automóvel,18-24,-23.59910154,-46.918556555
340,Cotia,2017,1,Masculino,Tarde,Não Disponível,Motocicleta,18-24,-23.580701,-46.917552
341,Cotia,2017,1,Masculino,Tarde,Atropelamento,Pedestre,50-54,-23.603270745,-46.917905967
342,Cotia,2017,1,Masculino,Noite,Atropelamento,Pedestre,75-79,-23.6001210043,-46.9016568512
343,Cotia,2017,2,Masculino,Tarde,Outros,Motocicleta,35-39,-23.603348,-46.919637
344,Cotia,2017,2,Masculino,Tarde,Colisao,Automovel,60-64,-23.5812476066,-46.921080165
345,Cotia,2017,3,Masculino,Noite,Nao Disponivel,Motocicleta,25-29,-23.600766,-46.859746
346,Cotia,2017,3,Masculino,Noite,Colisao,Motocicleta,35-39,-23.6072317029,-46.9495537476
347,Cotia,2017,3,Feminino,Madrugada,Choque,Automovel,55-59,-23.606114,-46.864747
348,Cotia,2017,3,Masculino,Madrugada,Atropelamento,Pedestre,70-74,NAO DISPONIVEL,NAO DISPONIVEL 
349,Cravinhos,2016,12,Masculino,Madrugada,Atropelamento,Pedestre,50-54,-21.347747,-47.724582
350,Cravinhos,2017,1,Masculino,Não Disponível,Choque,Automóvel,40-44,-21.3156273583,-47.7352502947
351,Cravinhos,2017,2,Masculino,Madrugada,Nao Disponivel,Motocicleta,25-29,-21.3156273583,-47.7352502947
352,Cravinhos,2017,3,Feminino,Noite,Atropelamento,Pedestre,18-24,-21.3689833174,-47.7143609074
353,Cruzeiro,2016,12,Masculino,Noite,Atropelamento,Pedestre,Não Disponível,-22.602596377,-45.0108511145
354,Cruzeiro,2017,1,Masculino,Tarde,Colisão,Motocicleta,45-49,-22.5488850932,-45.0209203919
355,Cubatao,2016,12,Feminino,Noite,Atropelamento,Pedestre,0-17,-23.922714,-46.423009
356,Cubatao,2016,12,Masculino,Noite,Colisão,Motocicleta,0-17,-23.919591,-46.4238
357,Cubatao,2016,12,Masculino,Madrugada,Colisão,Motocicleta,35-39,-23.9039562193,-46.4258969732
358,Cubatao,2017,2,Masculino,Manhã,Choque,Caminhao,45-49,-23.887042,-46.43463
359,Cubatao,2017,2,Masculino,Tarde,Colisao,Motocicleta,45-49,-23.8910198985,-46.492102712
360,Cubatao,2017,3,Feminino,Tarde,Colisao,Automovel,80 Ou Mais,-23.9006802521,-46.4540881768
361,Cunha,2017,1,Feminino,Tarde,Não Disponível,Não Disponível,40-44,-23.1293323757,-44.9371990473
