MunAcidente,Ano,Mes,Sexo,Periodo,TipAcidente,Modal,FaixaEt,Latitude,Longitude
Atibaia,2017.0,1.0,Feminino,Manha,Atropelamento,Pedestre,0-17,-46.594557,-46.594557
Atibaia,2017.0,1.0,Masculino,Tarde,Outros,Motocicleta,30-34,-46.6438777706221,-46.6438777706221
Atibaia,2016.0,8.0,Masculino,Madrugada,Atropelamento,Pedestre,45-49,-46.6062042504624,-46.6062042504624
Atibaia,2017.0,1.0,Masculino,Madrugada,Colisao,Motocicleta,ND,-46.6021002328068,-46.6021002328068
Atibaia,2016.0,10.0,Masculino,Tarde,Colisao,Motocicleta,55-59,-46.596803,-46.596803
Atibaia,2016.0,10.0,Feminino,Manha,Atropelamento,Pedestre,50-54,-46.5685501275838,-46.5685501275838
Atibaia,2016.0,10.0,Masculino,Noite,Colisao,Caminhao,40-44,-46.6525419397886,-46.6525419397886
Atibaia,2016.0,10.0,Feminino,Manha,Atropelamento,Pedestre,75-79,-46.591037,-46.591037
Atibaia,2016.0,9.0,Masculino,ND,Choque,Automovel,35-39,-46.586828000000004,-46.586828000000004
Atibaia,2016.0,12.0,Masculino,Tarde,Atropelamento,Pedestre,65-69,-46.573594496392005,-46.573594496392005
Atibaia,2017.0,2.0,Masculino,Tarde,Colisao,Motocicleta,40-44,-46.569302169763695,-46.569302169763695
Atibaia,2017.0,2.0,Masculino,Noite,Outros,Automovel,0-17,-46.623692,-46.623692
Atibaia,2017.0,2.0,Masculino,Manha,ND,Motocicleta,30-34,-50.276345959409,-50.276345959409
Atibaia,2017.0,2.0,Masculino,Manha,Choque,Motocicleta,25-29,-46.5685501275838,-46.5685501275838
Atibaia,2016.0,10.0,Masculino,Noite,ND,Motocicleta,50-54,-46.5335874867004,-46.5335874867004
Atibaia,2016.0,9.0,Masculino,Noite,Atropelamento,Pedestre,ND,-46.5437917146533,-46.5437917146533
Atibaia,2017.0,3.0,Masculino,Tarde,Colisao,Motocicleta,25-29,-46.581145,-46.581145
Atibaia,2016.0,8.0,Masculino,Tarde,Outros,Automovel,65-69,-46.570762,-46.570762
Atibaia,2017.0,4.0,Masculino,Noite,Atropelamento,Pedestre,45-49,-46.567507198920005,-46.567507198920005
Atibaia,2016.0,11.0,Feminino,Noite,Choque,Automovel,18-24,-46.5646425383231,-46.5646425383231
Avanhandava,2017.0,4.0,Masculino,Noite,Colisao,Automovel,0-17,-49.9403487224182,-49.9403487224182
Avanhandava,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,55-59,-49.940220000000004,-49.940220000000004
Avanhandava,2017.0,3.0,Masculino,Madrugada,ND,Motocicleta,18-24,,
Avare,2016.0,10.0,Masculino,Noite,Atropelamento,Pedestre,45-49,-48.84353589089599,-48.84353589089599
Avare,2016.0,10.0,Feminino,Madrugada,Choque,Motocicleta,25-29,-48.925515999999995,-48.925515999999995
Avare,2016.0,11.0,Masculino,Tarde,Colisao,Automovel,30-34,-48.917222613167,-48.917222613167
Avare,2016.0,9.0,ND,Madrugada,Atropelamento,Pedestre,35-39,-48.940260318,-48.940260318
Avare,2016.0,12.0,Masculino,Madrugada,Colisao,Automovel,18-24,-48.878999609887295,-48.878999609887295
Avare,2016.0,12.0,Feminino,Madrugada,Colisao,Automovel,18-24,-48.878999609887295,-48.878999609887295
Avare,2016.0,12.0,Masculino,Noite,Colisao,Motocicleta,50-54,-46.836433411,-46.836433411
Avare,2016.0,10.0,Masculino,Noite,Colisao,Automovel,60-64,-48.9625046607829,-48.9625046607829
Avare,2017.0,3.0,Feminino,Noite,Colisao,Motocicleta,30-34,-48.940260318,-48.940260318
Bady Bassitt,2017.0,4.0,Masculino,ND,Choque,Motocicleta,35-39,-49.437827,-49.437827
Bady Bassitt,2016.0,8.0,Masculino,Madrugada,Choque,Motocicleta,18-24,-49.454539000000004,-49.454539000000004
Bady Bassitt,2016.0,10.0,Masculino,Tarde,Colisao,Motocicleta,50-54,-49.455606405476104,-49.455606405476104
Balsamo,2016.0,8.0,Masculino,Tarde,Choque,Motocicleta,50-54,-49.619483,-49.619483
Bananal,2016.0,8.0,Feminino,Noite,Atropelamento,Pedestre,40-44,-44.1963774972256,-44.1963774972256
Barao De Antonina,2016.0,10.0,Masculino,Noite,Colisao,Motocicleta,25-29,-49.5505198805579,-49.5505198805579
Barbosa,2016.0,9.0,Masculino,Tarde,Colisao,Automovel,75-79,-49.9760608625617,-49.9760608625617
Bariri,2017.0,1.0,Feminino,Noite,Colisao,Automovel,25-29,-48.7395509831367,-48.7395509831367
Barra Bonita,2016.0,8.0,Masculino,Noite,Colisao,Automovel,45-49,-48.542167,-48.542167
Barra Bonita,2017.0,3.0,Masculino,Manha,Colisao,Automovel,40-44,-48.521734,-48.521734
Barra Do Chapeu,2016.0,12.0,Feminino,Tarde,Atropelamento,Pedestre,65-69,-49.024556,-49.024556
Barra Do Chapeu,2016.0,12.0,Masculino,Tarde,Atropelamento,Pedestre,0-17,-49.024556,-49.024556
Barra Do Turvo,2017.0,4.0,Masculino,Tarde,Choque,Automovel,18-24,-48.50275,-48.50275
Barra Do Turvo,2016.0,10.0,Masculino,ND,Colisao,Caminhao,50-54,-48.441314403838994,-48.441314403838994
Barra Do Turvo,2017.0,3.0,Masculino,ND,Outros,Outros,30-34,-48.4156349995732,-48.4156349995732
Barra Do Turvo,2017.0,4.0,Masculino,Tarde,Choque,Automovel,0-17,-48.50275,-48.50275
Barra Do Turvo,2016.0,11.0,Masculino,Tarde,Colisao,Automovel,25-29,-48.4328284579638,-48.4328284579638
