;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herculandia; Herculandia ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -22.0524783510331 ; -50.3501255828531 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hortolandia; Hortolandia ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.876495 ; -47.198978 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iaras; Iaras ;2016; 9 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.874811 ; -49.161661 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibate; Ibate ;2016; 9 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; -21.965750000 ; -47.965780000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indaiatuba; Indaiatuba ;2016; 9 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.077699356 ; -47.211870217 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indaiatuba; Indaiatuba ;2016; 9 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 55-59 ; -23.084195 ; -47.188809 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indaiatuba; Indaiatuba ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.1492363309133 ; -47.25379147518 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indaiatuba; Indaiatuba ;2016; 9 ; MASCULINO ; TARDE ; OUTROS ; BICICLETA ; 70-74 ; -23.082048 ; -47.199292 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ipero; Ipero ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -23.422438 ; -47.567518 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iracemapolis; Iracemapolis ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.590971 ; -47.519969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irapuru; Irapuru ;2016; 9 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 30-34 ; -21.5887571762333 ; -51.3713278732227 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itabera; Itabera ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 75-79 ; -23.7208916663348 ; -49.2532848435593 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
