;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 55-59 ; -22.9468190977994 ; -47.0897178492126 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -22.9035265752234 ; -47.0084583189997 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 70-74 ; -22.993375 ; -47.116013 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.038594 ; -47.128018 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 45-49 ; -22.853174022 ; -47.043345497 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; TARDE ; NÃO ESPECIFICADO ; MOTOCICLETA ; 25-29 ; -22.849335 ; -47.126394 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campos do Jordao; Campos do Jordao ;2016; 12 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.734750 ; -45.586773 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.5656551900068 ; -46.8414466022431 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.555660 ; -46.823586 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.552063889 ; -46.820413889 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.549238 ; -46.840232 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.540716667 ; -46.818063889 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -23.5635154049065 ; -46.8202563279936 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 45-49 ; -23.5635154049065 ; -46.8202563279936 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Castilho; Castilho ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -20.960575 ; -51.504924 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 12 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -21.127636 ; -49.007143 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 45-49 ; -21.151061 ; -48.989747 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 65-69 ; -21.2078366824085 ; -48.9992205587295 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cedral; Cedral ;2016; 12 ; MASCULINO ; Não Disponível ; COLISÃO ; MOTOCICLETA ; 55-59 ; -20.9159561303416 ; -49.2854583569167 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerquilho; Cerquilho ;2016; 12 ; MASCULINO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.176007 ; -47.715687 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 12 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.6032486987563 ; -46.9214614713847 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cravinhos; Cravinhos ;2016; 12 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -21.347747 ; -47.724582 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cruzeiro; Cruzeiro ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.6025963770405 ; -45.0108511145456 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 12 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.922714 ; -46.423009 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.9039562192552 ; -46.4258969731517 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -23.919591 ; -46.423800 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Descalvado; Descalvado ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -21.908936 ; -47.587906 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 12 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -23.731938 ; -46.620164 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 12 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 35-39 ; -23.712916 ; -46.600033 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 12 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.685344 ; -46.620642 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 12 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 50-54 ; -23.695414 ; -46.600621 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dumont; Dumont ;2016; 12 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -21.2287368301648 ; -47.9463170460651 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
