,  Município Acidente ,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
294, Santa Barbara d'Oeste ,2016.0,8.0, FEMININO , NOITE , COLISÃO , AUTOMÓVEL , 50-54 , -22.757762 , -47.424491 
295, Santa Barbara d'Oeste ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 35-39 , -22.748681 , -47.427959 
296, Santa Barbara d'Oeste ,2016.0,8.0, MASCULINO , TARDE , ATROPELAMENTO , PEDESTRE , 60-64 , -22.757688 , -47.458064 
297, Santa Fe do Sul ,2016.0,8.0, FEMININO , MANHÃ , COLISÃO , MOTOCICLETA , 45-49 , -20.2050386569999 , -50.920185526 
298, Santa Gertrudes ,2016.0,8.0, MASCULINO , TARDE , ATROPELAMENTO , PEDESTRE , 40-44 , -22.467221 , -47.535286 
299, Santa Isabel ,2016.0,8.0, FEMININO , NÃO DISPONÍVEL , COLISÃO , MOTOCICLETA , 18-24 , -23.3550407658854 , -46.2454060998651 
300, Santa Rita do Passa Quatro ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , CAMINHÃO , 50-54 , -21.7105540823589 , -47.5924909445817 
301, Santana de Parnaiba ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , MOTOCICLETA , 25-29 , -23.486335 , -46.991583 
302, Santana de Parnaiba ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 35-39 , -23.474098 , -46.866278 
303, Santana de Parnaiba ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 18-24 , -23.443966 , -46.918260 
304, Santo Andre ,2016.0,8.0, FEMININO , TARDE , ATROPELAMENTO , PEDESTRE , 65-69 , -23.692783 , -46.50604 
305, Santo Andre ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , NÃO DISPONÍVEL , 25-29 , -23.65996 , -46.555784 
306, Santo Andre ,2016.0,8.0, MASCULINO , MANHÃ , ATROPELAMENTO , PEDESTRE , 30-34 , -23.7400588707013 , -46.4900217665621 
307, Santo Andre ,2016.0,8.0, MASCULINO , MANHÃ , ATROPELAMENTO , PEDESTRE , 75-79 , -23.654934 , -46.536255 
308, Santo Andre ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , CHOQUE , MOTOCICLETA , 40-44 , -23.6956106929999 , -46.504604801 
309, Santo Andre ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 50-54 , -23.617344 , -46.535209 
310, Santos ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , 40-44 , -23.913896 , -46.290191 
311, Santos ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , AUTOMÓVEL , 18-24 , -23.948772 , -46.339247 
312, Santos ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 18-24 , -23.925249 , -46.372892 
313, Santos ,2016.0,8.0, MASCULINO , TARDE , ATROPELAMENTO , PEDESTRE , 65-69 , -23.943670142 , -46.325162204 
314, Sao Bernardo do Campo ,2016.0,8.0, FEMININO , NOITE , COLISÃO , MOTOCICLETA , 0-17 , -23.779299 , -46.527704 
315, Sao Bernardo do Campo ,2016.0,8.0, FEMININO , TARDE , COLISÃO , AUTOMÓVEL , 70-74 , -23.802126 , -46.589878 
316, Sao Bernardo do Campo ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , AUTOMÓVEL , 35-39 , -23.7033222111518 , -46.5614963498387 
317, Sao Bernardo do Campo ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 30-34 , -23.659277 , -46.576193 
318, Sao Bernardo do Campo ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , BICICLETA , 0-17 , -23.718581 , -46.582505 
319, Sao Bernardo do Campo ,2016.0,8.0, MASCULINO , NOITE , NÃO DISPONÍVEL , MOTOCICLETA , 18-24 , -23.752501 , -46.584549 
320, Sao Bernardo do Campo ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , BICICLETA , 18-24 , -23.723770 , -46.586698 
321, Sao Bernardo do Campo ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 18-24 , -23.703316 , -46.561577 
322, Sao Jose do Rio Preto ,2016.0,8.0, FEMININO , NOITE , COLISÃO , MOTOCICLETA , 18-24 , -20.784546 , -49.368596 
323, Sao Jose do Rio Preto ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , AUTOMÓVEL , 60-64 , Não Disponível , Não Disponível 
324, Sao Jose do Rio Preto ,2016.0,8.0, MASCULINO , MANHÃ , ATROPELAMENTO , PEDESTRE , 75-79 , -20.854226 , -49.340899 
325, Sao Jose do Rio Preto ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 25-29 , -20.793442 , -49.376139 
326, Sao Jose dos Campos ,2016.0,8.0, FEMININO , MANHÃ , ATROPELAMENTO , PEDESTRE , 45-49 , -23.135326 , -45.751979 
327, Sao Jose dos Campos ,2016.0,8.0, FEMININO , MANHÃ , ATROPELAMENTO , PEDESTRE , Não Disponível , -23.148799 , -45.779074 
328, Sao Jose dos Campos ,2016.0,8.0, FEMININO , NÃO DISPONÍVEL , COLISÃO , MOTOCICLETA , 30-34 , -23.17382 , -45.816306 
329, Sao Jose dos Campos ,2016.0,8.0, MASCULINO , MANHÃ , CHOQUE , AUTOMÓVEL , 0-17 , -23.248745 , -45.885695 
